cue,targetType,targetLoc,ISI,response,RT
0,1,2,1,1,0.003956359
0,1,6,2,1,0.002438260002
0,2,4,1,2,0.003684522002
0,2,4,2,2,0.001930844999
1,1,2,1,1,0.001826442
1,2,6,3,2,0.002305794998
0,2,5,1,2,0.001754173001
0,2,5,3,2,0.002458865998
1,2,6,1,1,0.001724358001
1,1,6,3,1,0.001995707
1,2,3,2,2,0.001838235999
1,1,4,1,2,0.001779725
0,1,1,3,2,0.001872212
0,2,2,3,2,0.001689209999
0,1,3,2,2,0.001717898998
1,2,4,1,2,0.002473687
1,1,3,1,1,0.001687455002
1,1,1,1,1,0.001652726001
1,2,2,2,2,0.00178246
1,1,3,2,2,0.001725249
0,1,5,3,1,0.001856277999
1,2,2,3,1,0.002194097
1,2,5,3,1,0.00178622
0,2,4,3,2,0.002390472
0,2,2,2,2,0.001805022002
0,2,3,2,1,0.001866495
0,2,5,2,2,0.001843282
0,1,4,1,2,0.001820910999
1,1,6,2,2,0.001971007998
0,1,4,3,2,0.001831410002
1,2,4,2,1,0.001668169003
1,2,4,3,1,0.002012659003
1,2,1,2,1,0.001762501
0,1,4,2,2,0.001772659001
0,2,6,2,2,0.001857545998
1,2,2,1,2,0.001793737003
1,1,1,3,2,0.001797855999
1,2,3,3,1,0.001726966002
0,2,2,1,1,0.001959654997
0,1,3,3,1,0.001659944999
0,1,1,1,1,0.001671696999
0,2,6,1,2,0.00188557
0,1,1,2,2,0.002132165002
1,1,5,3,1,0.001733449
1,1,3,3,2,0.001824290001
1,1,2,3,1,0.001755126999
1,2,6,2,2,0.002091766
1,1,4,3,1,0.001793034
1,2,5,1,2,0.002272834001
1,2,5,2,2,0.001757906
0,2,6,3,2,0.001966182997
0,1,5,2,1,0.001791947001
0,1,2,2,2,0.001963457002
0,2,1,3,1,0.001731189001
1,1,6,1,2,0.002003080997
1,1,5,1,2,0.001732966997
0,1,5,1,1,0.001735291
0,1,2,3,1,0.001862393001
1,2,1,1,1,0.001697986998
0,1,6,3,2,0.001882065997
0,2,1,2,1,0.002149586002
1,1,4,2,1,0.001690934998
1,1,5,2,1,0.001938301
1,2,3,1,2,0.002233563999
1,1,1,2,1,0.001670541998
1,1,2,2,1,0.001795792003
0,2,3,1,2,0.001885114001
0,1,6,1,2,0.001695790001
0,1,3,1,2,0.001680088
1,2,1,3,2,0.001838005002
0,2,3,3,1,0.001705815001
0,2,1,1,1,0.001695409999
